epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.281,1.40687,2.01787,1.50786,0.52369,0.57634,0.55984,0.35162,1.35474,1.44098,1.48764,0.00332026,0.00332026,0.00332026
2,549.66,1.34665,1.32419,1.43364,0.55029,0.49421,0.5057,0.29376,1.50575,1.68415,1.67367,0.00658772,0.00658772,0.00658772
3,822.598,1.51704,1.60383,1.56996,0.30307,0.18891,0.14283,0.066,2.13172,4.39631,2.42691,0.00978919,0.00978919,0.00978919
4,1095.31,1.59572,1.7492,1.6506,0.2852,0.29121,0.23976,0.1197,1.97668,3.6023,2.06724,0.009703,0.009703,0.009703
5,1367.88,1.52256,1.57656,1.59636,0.44849,0.3923,0.36679,0.19574,1.79364,1.8768,1.92346,0.009604,0.009604,0.009604
6,1640.11,1.43863,1.44978,1.54802,0.55325,0.49833,0.55347,0.32188,1.4973,1.51266,1.67345,0.009505,0.009505,0.009505
7,1911.88,1.38379,1.33965,1.50854,0.5622,0.49708,0.56482,0.3518,1.43509,1.3816,1.58461,0.009406,0.009406,0.009406
8,2182.98,1.35079,1.27589,1.49134,0.49496,0.53802,0.50958,0.32651,1.4222,1.64814,1.58735,0.009307,0.009307,0.009307
9,2455.19,1.32872,1.21675,1.46753,0.58078,0.49384,0.54773,0.32237,1.43258,1.36666,1.59958,0.009208,0.009208,0.009208
10,2727.63,1.29648,1.16148,1.4407,0.63586,0.58435,0.61088,0.38029,1.33363,1.19367,1.48641,0.009109,0.009109,0.009109
11,3000.26,1.27164,1.11873,1.42401,0.62289,0.61083,0.63667,0.41759,1.28751,1.17195,1.44732,0.00901,0.00901,0.00901
12,3272.84,1.24863,1.08089,1.40895,0.65176,0.58441,0.62449,0.41235,1.28258,1.29786,1.45805,0.008911,0.008911,0.008911
13,3545.55,1.24789,1.05104,1.39948,0.71929,0.60537,0.66642,0.44611,1.26664,1.07516,1.44146,0.008812,0.008812,0.008812
