epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.763,1.56688,3.80342,1.74959,0.27708,0.44362,0.30007,0.15745,1.60924,2.85938,1.7598,0.00331588,0.00331588,0.00331588
2,505.259,1.47645,2.49181,1.64339,0.37602,0.2615,0.23787,0.12076,1.91986,2.83717,2.09317,0.00658339,0.00658339,0.00658339
3,751.422,1.53549,2.06668,1.7417,0.2026,0.13808,0.07979,0.03309,2.28203,5.25531,2.35114,0.00978489,0.00978489,0.00978489
4,996.114,1.59391,1.91446,1.79328,0.31243,0.2473,0.20617,0.0938,1.95529,2.76178,2.15524,0.009703,0.009703,0.009703
5,1240.28,1.53105,1.72144,1.76145,0.27259,0.36004,0.25627,0.12143,1.86464,2.38269,2.12413,0.009604,0.009604,0.009604
6,1485.28,1.49172,1.60345,1.7258,0.61425,0.4242,0.4955,0.26762,1.67683,1.90328,1.88877,0.009505,0.009505,0.009505
7,1727.22,1.4425,1.50407,1.66984,0.50347,0.45875,0.48925,0.2531,1.74657,2.36963,1.91711,0.009406,0.009406,0.009406
8,1969.7,1.42052,1.4463,1.65666,0.53893,0.5063,0.52936,0.30399,1.4958,1.65361,1.72791,0.009307,0.009307,0.009307
9,2208.67,1.37962,1.37254,1.64073,0.52094,0.60538,0.59868,0.34449,1.56612,1.43118,1.84326,0.009208,0.009208,0.009208
10,2447.36,1.36688,1.32269,1.60468,0.54318,0.51565,0.52404,0.30617,1.52725,1.63256,1.75113,0.009109,0.009109,0.009109
11,2688.86,1.34783,1.29125,1.59426,0.61897,0.58311,0.62414,0.37203,1.45894,1.31831,1.69398,0.00901,0.00901,0.00901
12,2929.64,1.3207,1.24672,1.58122,0.64316,0.54069,0.62726,0.38264,1.42951,1.34548,1.66461,0.008911,0.008911,0.008911
13,3169.94,1.32675,1.21297,1.56555,0.60818,0.61455,0.63373,0.39303,1.39456,1.25651,1.61073,0.008812,0.008812,0.008812
14,3408.3,1.31154,1.19076,1.56033,0.59308,0.58106,0.57869,0.3518,1.36311,1.30921,1.59526,0.008713,0.008713,0.008713
15,3646.05,1.28109,1.14848,1.53182,0.67083,0.56585,0.62388,0.37945,1.42475,1.24267,1.64504,0.008614,0.008614,0.008614
16,3887.68,1.28027,1.12424,1.53716,0.60915,0.62171,0.62585,0.38945,1.41809,1.16704,1.65,0.008515,0.008515,0.008515
17,4125.31,1.26591,1.1206,1.5163,0.63454,0.57347,0.6199,0.38419,1.37126,1.33189,1.6008,0.008416,0.008416,0.008416
18,4364.63,1.25555,1.10426,1.51487,0.72138,0.63335,0.67842,0.42244,1.4012,1.19369,1.62145,0.008317,0.008317,0.008317
19,4606.7,1.25462,1.07038,1.48932,0.71886,0.56931,0.6437,0.40808,1.3817,1.1678,1.56712,0.008218,0.008218,0.008218
20,4844.77,1.22974,1.05087,1.49274,0.68091,0.61327,0.65433,0.4131,1.32187,1.19538,1.54321,0.008119,0.008119,0.008119
21,5083.28,1.24141,1.05071,1.48328,0.72595,0.6169,0.63885,0.41332,1.33606,1.14539,1.57503,0.00802,0.00802,0.00802
22,5322.6,1.21478,1.029,1.47233,0.71646,0.64042,0.68957,0.43692,1.34521,1.1186,1.55114,0.007921,0.007921,0.007921
23,5561.62,1.21377,1.00754,1.46522,0.72272,0.6343,0.69354,0.46263,1.27916,1.10154,1.51463,0.007822,0.007822,0.007822
24,5801.68,1.20856,0.99985,1.46007,0.73063,0.62427,0.68646,0.45753,1.26774,1.13245,1.5128,0.007723,0.007723,0.007723
25,6041.69,1.20016,0.97451,1.44577,0.75444,0.62277,0.68085,0.44382,1.28332,1.11366,1.48737,0.007624,0.007624,0.007624
26,6281.45,1.19045,0.96689,1.43685,0.73807,0.63029,0.69995,0.45625,1.2698,1.06194,1.47655,0.007525,0.007525,0.007525
27,6522.58,1.16488,0.9339,1.42383,0.70572,0.64689,0.69342,0.45273,1.28773,1.06308,1.49978,0.007426,0.007426,0.007426
28,6766.89,1.18207,0.9426,1.43736,0.64795,0.67661,0.66987,0.44836,1.25351,1.14166,1.4771,0.007327,0.007327,0.007327
29,7016.92,1.17805,0.93881,1.42929,0.72057,0.69162,0.71999,0.49383,1.20528,0.98605,1.44374,0.007228,0.007228,0.007228
30,7262.59,1.14674,0.91277,1.42061,0.7588,0.67559,0.72478,0.48881,1.2264,0.99759,1.45514,0.007129,0.007129,0.007129
31,7508.29,1.13168,0.90323,1.41147,0.82402,0.64114,0.72911,0.49364,1.22548,0.96134,1.46219,0.00703,0.00703,0.00703
32,7754.88,1.14278,0.90474,1.41694,0.77824,0.68069,0.73079,0.50134,1.21524,0.97076,1.45454,0.006931,0.006931,0.006931
33,7999.31,1.14923,0.89499,1.40827,0.74714,0.69818,0.7247,0.50117,1.18012,0.99504,1.42341,0.006832,0.006832,0.006832
34,8242.76,1.13138,0.87832,1.40115,0.69147,0.68459,0.70742,0.47901,1.21541,0.97529,1.45118,0.006733,0.006733,0.006733
35,8482.4,1.10827,0.85981,1.38798,0.77203,0.67591,0.74342,0.51039,1.19127,0.95983,1.4186,0.006634,0.006634,0.006634
36,8723.76,1.12505,0.87226,1.39068,0.76082,0.66846,0.72573,0.49882,1.1852,0.97665,1.41491,0.006535,0.006535,0.006535
37,8967.1,1.10006,0.8508,1.38276,0.77062,0.65756,0.71323,0.49483,1.17504,0.98314,1.40647,0.006436,0.006436,0.006436
38,9214.23,1.11296,0.84463,1.38172,0.79923,0.68553,0.73865,0.5133,1.16313,0.93426,1.40216,0.006337,0.006337,0.006337
39,9458.25,1.11366,0.84856,1.37627,0.7748,0.68124,0.74547,0.52083,1.14799,0.89042,1.39294,0.006238,0.006238,0.006238
40,9698.32,1.09389,0.82791,1.36833,0.7705,0.70293,0.73457,0.51307,1.16003,0.90104,1.4016,0.006139,0.006139,0.006139
41,9939.94,1.08126,0.82803,1.37117,0.80062,0.71378,0.74925,0.52339,1.15141,0.90833,1.39262,0.00604,0.00604,0.00604
42,10182.6,1.09386,0.82318,1.36083,0.77846,0.68168,0.72911,0.51437,1.1427,0.94564,1.38643,0.005941,0.005941,0.005941
43,10424.2,1.08805,0.81449,1.36614,0.8079,0.68947,0.75047,0.52699,1.14175,0.89855,1.38697,0.005842,0.005842,0.005842
44,10664.3,1.0887,0.8101,1.35019,0.78036,0.68989,0.74241,0.52381,1.14003,0.92131,1.38174,0.005743,0.005743,0.005743
45,10913.8,1.07317,0.79082,1.34143,0.78762,0.68422,0.7504,0.52282,1.14919,0.9138,1.39275,0.005644,0.005644,0.005644
46,11162.2,1.06968,0.7913,1.34502,0.78408,0.71742,0.75644,0.53418,1.13855,0.90392,1.38515,0.005545,0.005545,0.005545
47,11405,1.06742,0.78187,1.34071,0.77551,0.70055,0.75878,0.53354,1.14367,0.89755,1.3847,0.005446,0.005446,0.005446
48,11648.4,1.04425,0.7622,1.3237,0.76665,0.6995,0.75282,0.53435,1.12808,0.90805,1.36369,0.005347,0.005347,0.005347
49,11897.3,1.04475,0.7674,1.32854,0.76629,0.70144,0.73583,0.52162,1.12183,0.90569,1.36361,0.005248,0.005248,0.005248
50,12145.7,1.04495,0.76333,1.33052,0.7693,0.70043,0.73485,0.5203,1.11981,0.91515,1.37048,0.005149,0.005149,0.005149
51,12387.9,1.03072,0.75049,1.31136,0.78435,0.69157,0.74203,0.52842,1.11692,0.91626,1.36206,0.00505,0.00505,0.00505
52,12631.6,1.04292,0.74186,1.31172,0.78772,0.69602,0.74513,0.53051,1.11663,0.92162,1.36392,0.004951,0.004951,0.004951
53,12876.1,1.03475,0.74195,1.31773,0.78302,0.69996,0.75023,0.52899,1.11849,0.91221,1.37067,0.004852,0.004852,0.004852
54,13128.4,1.03744,0.74225,1.31246,0.77531,0.6995,0.75209,0.5367,1.10775,0.89707,1.36098,0.004753,0.004753,0.004753
55,13379.2,1.02136,0.72637,1.31243,0.79467,0.68641,0.74351,0.53293,1.10871,0.91195,1.36025,0.004654,0.004654,0.004654
56,13619.1,1.02304,0.72896,1.31044,0.76397,0.70991,0.74655,0.53567,1.10256,0.90749,1.35499,0.004555,0.004555,0.004555
57,13865,1.02227,0.72508,1.29644,0.77276,0.70491,0.74455,0.5317,1.10808,0.90697,1.35547,0.004456,0.004456,0.004456
58,14112,1.00473,0.70452,1.29591,0.76459,0.70315,0.74783,0.53162,1.10351,0.89928,1.35417,0.004357,0.004357,0.004357
59,14356.8,1.00499,0.71175,1.2964,0.77252,0.6942,0.74617,0.53225,1.10213,0.91032,1.35749,0.004258,0.004258,0.004258
60,14601.5,0.99701,0.70619,1.29195,0.76757,0.70945,0.75105,0.54049,1.10017,0.89656,1.35831,0.004159,0.004159,0.004159
61,14844.2,0.98969,0.68872,1.28972,0.79105,0.7062,0.75089,0.54034,1.1005,0.89246,1.35517,0.00406,0.00406,0.00406
62,15086.7,0.98383,0.68445,1.27925,0.77222,0.72167,0.7517,0.54106,1.0999,0.88406,1.35185,0.003961,0.003961,0.003961
63,15325.6,0.99172,0.6811,1.27817,0.77419,0.71326,0.75126,0.54151,1.10031,0.89087,1.34796,0.003862,0.003862,0.003862
64,15564.5,0.97545,0.67642,1.27514,0.77055,0.7198,0.75371,0.54462,1.09478,0.88278,1.34377,0.003763,0.003763,0.003763
65,15807.3,0.97632,0.67235,1.27138,0.77751,0.71909,0.75182,0.54278,1.09738,0.88149,1.34722,0.003664,0.003664,0.003664
66,16048.6,0.97283,0.67462,1.27173,0.78028,0.71342,0.75333,0.54169,1.0941,0.87829,1.34765,0.003565,0.003565,0.003565
67,16288,0.96525,0.66378,1.26222,0.78469,0.71169,0.75442,0.5457,1.09259,0.88076,1.34598,0.003466,0.003466,0.003466
68,16529.2,0.95063,0.6582,1.25933,0.79041,0.70585,0.75235,0.54196,1.09381,0.88196,1.34759,0.003367,0.003367,0.003367
69,16768.1,0.94938,0.64546,1.25426,0.79076,0.7059,0.75084,0.54035,1.09527,0.88646,1.35099,0.003268,0.003268,0.003268
70,17007.3,0.94676,0.64432,1.24645,0.79569,0.69901,0.75116,0.54012,1.09235,0.88654,1.34932,0.003169,0.003169,0.003169
71,17258.2,0.93931,0.64257,1.25271,0.80222,0.69309,0.75202,0.54111,1.09131,0.88838,1.34843,0.00307,0.00307,0.00307
72,17503.4,0.9404,0.63212,1.2461,0.80628,0.68888,0.7526,0.54109,1.08895,0.88706,1.34795,0.002971,0.002971,0.002971
73,17748.9,0.93468,0.63194,1.23587,0.80651,0.68911,0.75055,0.54365,1.0896,0.89227,1.34923,0.002872,0.002872,0.002872
74,17994,0.93639,0.62674,1.2348,0.79341,0.69345,0.75065,0.54218,1.08925,0.89023,1.35034,0.002773,0.002773,0.002773
75,18240.3,0.92516,0.61931,1.2359,0.80417,0.68866,0.75069,0.54454,1.08747,0.89038,1.35209,0.002674,0.002674,0.002674
76,18484.9,0.92732,0.61258,1.22972,0.7988,0.69071,0.75386,0.54542,1.08884,0.8886,1.3542,0.002575,0.002575,0.002575
77,18728.2,0.92549,0.62442,1.23678,0.77958,0.69391,0.75034,0.54403,1.08642,0.89433,1.3522,0.002476,0.002476,0.002476
78,18972.1,0.91133,0.60937,1.22566,0.78271,0.69211,0.74879,0.54542,1.08649,0.89515,1.35223,0.002377,0.002377,0.002377
79,19217.8,0.91281,0.60886,1.22683,0.78102,0.69121,0.74957,0.54701,1.08633,0.89652,1.35284,0.002278,0.002278,0.002278
80,19461.1,0.90189,0.59976,1.21968,0.7867,0.68953,0.74994,0.54716,1.08616,0.89824,1.35245,0.002179,0.002179,0.002179
81,19703.3,0.90329,0.59545,1.21348,0.78921,0.68652,0.74877,0.54651,1.08946,0.90105,1.35631,0.00208,0.00208,0.00208
82,19943.5,0.8965,0.59126,1.20818,0.78423,0.68766,0.74634,0.54542,1.09042,0.89859,1.35666,0.001981,0.001981,0.001981
83,20184.5,0.88661,0.58606,1.20636,0.77656,0.6922,0.74634,0.54574,1.09007,0.89981,1.35678,0.001882,0.001882,0.001882
84,20425.1,0.88985,0.59443,1.21238,0.77374,0.6928,0.7465,0.54686,1.08959,0.90146,1.35551,0.001783,0.001783,0.001783
85,20669.1,0.88458,0.5818,1.20638,0.77952,0.69152,0.74705,0.54652,1.08946,0.90176,1.35532,0.001684,0.001684,0.001684
86,20910,0.89208,0.58686,1.20309,0.77479,0.69497,0.74604,0.54606,1.08911,0.90051,1.35524,0.001585,0.001585,0.001585
87,21156.9,0.87945,0.57633,1.20139,0.77637,0.69594,0.74694,0.54617,1.08842,0.90079,1.35436,0.001486,0.001486,0.001486
88,21400.1,0.86475,0.5701,1.195,0.77539,0.69762,0.74774,0.54629,1.08746,0.89975,1.35431,0.001387,0.001387,0.001387
89,21644.8,0.86073,0.56558,1.18772,0.7791,0.6931,0.74771,0.54579,1.08672,0.89921,1.35371,0.001288,0.001288,0.001288
