epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.012,1.62396,2.47321,1.79908,0.44401,0.54426,0.4509,0.26443,1.53478,1.57859,1.70113,0.00332026,0.00332026,0.00332026
2,603.556,1.4594,1.46186,1.65439,0.35687,0.4263,0.31446,0.16697,1.70357,2.05134,1.9497,0.00658772,0.00658772,0.00658772
3,890.233,1.57304,1.69009,1.77188,0.21466,0.22213,0.14124,0.05512,2.29425,3.17645,2.43978,0.00978919,0.00978919,0.00978919
4,1181.62,1.62775,1.79403,1.83439,0.21992,0.26617,0.17447,0.08858,2.18822,3.28943,2.36546,0.009703,0.009703,0.009703
5,1463.08,1.52748,1.64207,1.78904,0.46362,0.43096,0.44085,0.23158,1.73025,1.97035,1.96386,0.009604,0.009604,0.009604
6,1744.46,1.48227,1.52549,1.72031,0.50323,0.53636,0.53863,0.29369,1.6512,1.55556,1.87236,0.009505,0.009505,0.009505
7,2024.94,1.41818,1.4197,1.68109,0.58762,0.51581,0.55033,0.31141,1.66088,1.61283,1.84689,0.009406,0.009406,0.009406
8,2308.75,1.3948,1.35584,1.64809,0.51223,0.41476,0.465,0.27455,1.52789,1.61386,1.7584,0.009307,0.009307,0.009307
9,2588.75,1.37549,1.29893,1.63725,0.60073,0.63367,0.64795,0.3966,1.44582,1.29636,1.66392,0.009208,0.009208,0.009208
10,2871.53,1.33749,1.22342,1.59032,0.69416,0.54388,0.59369,0.36471,1.37897,1.38601,1.63479,0.009109,0.009109,0.009109
11,3151.27,1.30471,1.18736,1.57709,0.6085,0.6028,0.63592,0.40154,1.39436,1.17233,1.62181,0.00901,0.00901,0.00901
12,3431.37,1.2914,1.14341,1.5558,0.65066,0.61729,0.59048,0.36227,1.34009,1.18819,1.59255,0.008911,0.008911,0.008911
13,3715.32,1.29193,1.11228,1.53694,0.65405,0.62373,0.61821,0.39658,1.31652,1.11356,1.56489,0.008812,0.008812,0.008812
14,3994.01,1.26239,1.09339,1.54081,0.74854,0.57846,0.68041,0.44387,1.33029,1.06883,1.59631,0.008713,0.008713,0.008713
15,4280.51,1.24979,1.06517,1.5157,0.78377,0.65572,0.7341,0.48698,1.29639,0.99463,1.52918,0.008614,0.008614,0.008614
16,4559.77,1.22971,1.02692,1.50082,0.75229,0.69984,0.72273,0.47873,1.28969,1.02454,1.51257,0.008515,0.008515,0.008515
17,4851.28,1.22587,1.00119,1.48054,0.73795,0.6536,0.6817,0.45725,1.26179,1.01057,1.49737,0.008416,0.008416,0.008416
18,5129.92,1.19874,1.00283,1.47752,0.71636,0.66394,0.70402,0.46788,1.23184,1.02178,1.47464,0.008317,0.008317,0.008317
19,5412.66,1.20118,0.97707,1.4622,0.78079,0.67956,0.74127,0.50041,1.25083,0.95729,1.49726,0.008218,0.008218,0.008218
20,5691.59,1.17413,0.94651,1.44591,0.7542,0.66399,0.68751,0.46851,1.21863,1.1155,1.46598,0.008119,0.008119,0.008119
21,5976.11,1.19434,0.9424,1.45089,0.73269,0.64813,0.69468,0.47013,1.20914,1.00996,1.45231,0.00802,0.00802,0.00802
22,6256.46,1.15284,0.91027,1.42539,0.74421,0.6718,0.71251,0.49106,1.19697,0.96437,1.4444,0.007921,0.007921,0.007921
23,6536.29,1.15338,0.8879,1.4245,0.72376,0.66489,0.70176,0.48358,1.17109,0.98477,1.4241,0.007822,0.007822,0.007822
24,6823.48,1.16182,0.88865,1.42404,0.79888,0.67654,0.74044,0.50585,1.18543,0.95071,1.43542,0.007723,0.007723,0.007723
25,7103.62,1.12987,0.86382,1.39684,0.74967,0.68501,0.73531,0.51598,1.16318,0.94119,1.40827,0.007624,0.007624,0.007624
26,7382.2,1.11724,0.84273,1.39572,0.7693,0.69478,0.75516,0.52946,1.15308,0.89386,1.40366,0.007525,0.007525,0.007525
27,7662.68,1.1217,0.84429,1.4026,0.77904,0.69747,0.75504,0.53874,1.15792,0.89303,1.4058,0.007426,0.007426,0.007426
28,7944.05,1.10653,0.82289,1.38792,0.77385,0.69225,0.74222,0.52169,1.143,0.88042,1.39736,0.007327,0.007327,0.007327
29,8224.73,1.10323,0.81901,1.37851,0.79466,0.69445,0.75769,0.53246,1.12988,0.86651,1.3749,0.007228,0.007228,0.007228
30,8504,1.08388,0.80925,1.36627,0.79082,0.70605,0.74886,0.52901,1.12869,0.86605,1.37182,0.007129,0.007129,0.007129
31,8784.96,1.07216,0.79416,1.36003,0.78649,0.7009,0.75878,0.53377,1.12034,0.87638,1.37301,0.00703,0.00703,0.00703
32,9065.85,1.0772,0.78824,1.35722,0.76989,0.67604,0.75125,0.53087,1.11933,0.87233,1.37374,0.006931,0.006931,0.006931
33,9347.26,1.05607,0.77627,1.34825,0.80911,0.71279,0.7534,0.53051,1.12364,0.84042,1.37091,0.006832,0.006832,0.006832
34,9631.68,1.05301,0.75945,1.34919,0.78359,0.70689,0.76055,0.53403,1.12107,0.81862,1.37104,0.006733,0.006733,0.006733
35,9914.45,1.03533,0.73894,1.32432,0.77985,0.71215,0.75757,0.53496,1.11664,0.84339,1.36911,0.006634,0.006634,0.006634
36,10194.9,1.04016,0.74783,1.32524,0.76074,0.72043,0.75895,0.53716,1.10936,0.85143,1.36501,0.006535,0.006535,0.006535
37,10474,1.02355,0.7261,1.32636,0.76167,0.71517,0.75516,0.53858,1.10003,0.85414,1.3691,0.006436,0.006436,0.006436
38,10754,1.01525,0.71909,1.31069,0.77839,0.70901,0.75205,0.54039,1.0991,0.87208,1.36033,0.006337,0.006337,0.006337
39,11033.3,1.02964,0.71656,1.32063,0.74412,0.72988,0.76183,0.54626,1.08918,0.84651,1.34977,0.006238,0.006238,0.006238
40,11314.1,1.01621,0.71265,1.31232,0.77572,0.71334,0.76332,0.54736,1.08702,0.84739,1.34587,0.006139,0.006139,0.006139
41,11594.9,0.99549,0.71348,1.30683,0.80077,0.70012,0.75854,0.54285,1.08711,0.83695,1.35309,0.00604,0.00604,0.00604
42,11880.3,1.00287,0.70151,1.29715,0.79921,0.70817,0.75041,0.54008,1.08162,0.82298,1.34684,0.005941,0.005941,0.005941
43,12173.4,0.99628,0.69422,1.29507,0.78448,0.7008,0.75117,0.54118,1.07418,0.84135,1.34295,0.005842,0.005842,0.005842
44,12454.5,0.98542,0.67482,1.27993,0.77212,0.71259,0.74875,0.53996,1.06777,0.84782,1.34055,0.005743,0.005743,0.005743
45,12735.1,0.98484,0.67563,1.28473,0.76584,0.70861,0.75436,0.54682,1.0666,0.83549,1.33694,0.005644,0.005644,0.005644
46,13017.2,0.98545,0.67008,1.28005,0.77496,0.70658,0.75859,0.55077,1.06588,0.82061,1.3359,0.005545,0.005545,0.005545
47,13300.8,0.96883,0.65674,1.26811,0.77575,0.70084,0.75358,0.54744,1.06431,0.82489,1.33667,0.005446,0.005446,0.005446
48,13583.1,0.9645,0.6586,1.27032,0.78316,0.69972,0.75471,0.55066,1.06546,0.83288,1.34056,0.005347,0.005347,0.005347
49,13864.5,0.95845,0.64738,1.25992,0.78852,0.70125,0.76532,0.56013,1.06518,0.83355,1.3402,0.005248,0.005248,0.005248
50,14145.8,0.95028,0.65053,1.26493,0.79803,0.70133,0.75928,0.559,1.06256,0.83738,1.33977,0.005149,0.005149,0.005149
51,14426.4,0.93378,0.63841,1.25501,0.7993,0.6996,0.75819,0.55753,1.06025,0.83902,1.33361,0.00505,0.00505,0.00505
52,14707.8,0.93883,0.62365,1.24666,0.7701,0.72617,0.75929,0.5583,1.06038,0.83541,1.33296,0.004951,0.004951,0.004951
53,14987.8,0.92891,0.62627,1.24845,0.7673,0.73739,0.75691,0.55528,1.05829,0.83878,1.33413,0.004852,0.004852,0.004852
54,15268.5,0.91953,0.61289,1.23481,0.76306,0.73123,0.75601,0.55632,1.04987,0.84037,1.32468,0.004753,0.004753,0.004753
55,15549.7,0.90706,0.60714,1.22871,0.78275,0.72601,0.75276,0.55394,1.047,0.84772,1.32087,0.004654,0.004654,0.004654
56,15830.5,0.92326,0.6114,1.23705,0.78849,0.71327,0.7474,0.54865,1.04475,0.85052,1.32012,0.004555,0.004555,0.004555
57,16115.4,0.92031,0.60593,1.22659,0.79313,0.71451,0.7449,0.54713,1.04583,0.84582,1.3229,0.004456,0.004456,0.004456
58,16395.2,0.8931,0.60282,1.22777,0.78363,0.71512,0.74726,0.54996,1.04602,0.84496,1.32377,0.004357,0.004357,0.004357
59,16684.3,0.89541,0.58404,1.21874,0.78573,0.7101,0.74877,0.551,1.0445,0.85152,1.32081,0.004258,0.004258,0.004258
60,16965,0.88842,0.58602,1.2193,0.77877,0.70762,0.74935,0.55218,1.0426,0.85319,1.3186,0.004159,0.004159,0.004159
61,17248.9,0.88054,0.57234,1.2114,0.78176,0.70579,0.74812,0.55214,1.04112,0.85178,1.31611,0.00406,0.00406,0.00406
62,17529.6,0.88388,0.57819,1.21135,0.77978,0.70611,0.75249,0.55415,1.04004,0.84855,1.31554,0.003961,0.003961,0.003961
63,17810,0.85927,0.55848,1.19637,0.78358,0.70284,0.75324,0.556,1.03841,0.84867,1.31544,0.003862,0.003862,0.003862
64,18096.9,0.85387,0.5485,1.19648,0.77692,0.7065,0.7553,0.55917,1.03772,0.85043,1.31501,0.003763,0.003763,0.003763
65,18381.2,0.86396,0.55947,1.19547,0.78534,0.70248,0.75612,0.56053,1.03691,0.84512,1.31419,0.003664,0.003664,0.003664
66,18661.6,0.85618,0.547,1.19466,0.77133,0.71025,0.75549,0.55978,1.03635,0.84465,1.31397,0.003565,0.003565,0.003565
67,18949.4,0.85175,0.55012,1.18816,0.77989,0.70889,0.75527,0.56138,1.03471,0.84378,1.31321,0.003466,0.003466,0.003466
68,19231.1,0.83643,0.53769,1.17808,0.79295,0.70138,0.75616,0.55915,1.0333,0.8418,1.31324,0.003367,0.003367,0.003367
69,19512.5,0.84031,0.53376,1.17369,0.79534,0.70136,0.75616,0.55879,1.03284,0.84295,1.31313,0.003268,0.003268,0.003268
70,19792.3,0.82629,0.52568,1.16963,0.79328,0.698,0.75443,0.5587,1.03316,0.8429,1.31361,0.003169,0.003169,0.003169
71,20077.4,0.8323,0.52469,1.18244,0.79423,0.69763,0.75459,0.55761,1.0317,0.84135,1.31258,0.00307,0.00307,0.00307
72,20358.7,0.82709,0.52183,1.1668,0.79358,0.69638,0.75473,0.55848,1.03004,0.84228,1.31204,0.002971,0.002971,0.002971
73,20640.1,0.81309,0.51126,1.1613,0.79325,0.69693,0.75502,0.55896,1.02876,0.84334,1.31196,0.002872,0.002872,0.002872
74,20929.8,0.8087,0.50874,1.15777,0.79324,0.69572,0.75543,0.56026,1.02741,0.84436,1.31095,0.002773,0.002773,0.002773
75,21214.1,0.81034,0.50422,1.15702,0.79298,0.69592,0.75527,0.5608,1.02696,0.84468,1.31101,0.002674,0.002674,0.002674
